algorithm_name,train_or_test_data,accuracy,precision_1,precision_2,precision_3,precision_4,precision_avg,recall_1,recall_2,recall_3,recall_4,recall_avg,f1_1,f1_2,f1_3,f1_4,f1_avg,auc_1,auc_2,auc_3,auc_4,auc_avg
Random Forest (min_samples_leaf=5),train,0.9565972222222222,0.9652777777777778,0.9507042253521126,0.9381443298969072,0.972318339100346,0.9566111680317859,0.952054794520548,0.9473684210526315,0.9545454545454546,0.972318339100346,0.956571752304745,0.9586206896551724,0.9490333919156415,0.9462738301559792,0.972318339100346,0.9565615627067848,0.9987257088244663,0.9979764867763411,0.9972100647620279,0.9991419647403642,0.9982635562757999
Random Forest (min_samples_leaf=5),test,0.9479166666666666,0.9436619718309859,0.9577464788732394,0.9466666666666667,0.9436619718309859,0.9479342723004694,0.9852941176470589,0.9066666666666666,0.9594594594594594,0.9436619718309859,0.9487705539010427,0.9640287769784173,0.9315068493150684,0.9530201342281879,0.9436619718309859,0.9480544330881648,0.9990641711229945,0.9921752738654147,0.9969689315483707,0.9983124553774259,0.9966302079785514
"Neural Network (hidden_layer_sizes=(5,))",train,0.9392361111111112,0.9551724137931035,0.9310344827586207,0.9511278195488722,0.9215686274509803,0.9397258358878942,0.9486301369863014,0.9473684210526315,0.8846153846153846,0.9757785467128027,0.93909812234178,0.9518900343642611,0.9391304347826087,0.9166666666666666,0.9478991596638655,0.9388965738693504,0.986369066581714,0.9892875209939497,0.9906773365202926,0.994948016695602,0.9903204851978895
"Neural Network (hidden_layer_sizes=(5,))",test,0.9444444444444444,0.9710144927536232,0.9722222222222222,0.9565217391304348,0.8846153846153846,0.9460934596804162,0.9852941176470589,0.9333333333333333,0.8918918918918919,0.971830985915493,0.9455875821969443,0.9781021897810219,0.9523809523809523,0.9230769230769231,0.9261744966442953,0.9449336404707982,0.9992647058823529,0.9958059467918623,0.9948219247284669,0.9964301940676316,0.9965806928675784
"Neural Network (hidden_layer_sizes=(5,5))",train,0.9401041666666666,0.9461279461279462,0.9464285714285714,0.9379562043795621,0.9302325581395349,0.9401863200189036,0.9623287671232876,0.9298245614035088,0.8986013986013986,0.9688581314878892,0.939903214654021,0.9541595925297114,0.9380530973451328,0.9178571428571428,0.9491525423728814,0.9398055937762171,0.9956435170436445,0.9913717396143183,0.9898173420113373,0.9953529772620655,0.9930463939828414
"Neural Network (hidden_layer_sizes=(5,5))",test,0.9479166666666666,0.9710144927536232,0.9857142857142858,0.9333333333333333,0.9054054054054054,0.9488668793016619,0.9852941176470589,0.92,0.9459459459459459,0.9436619718309859,0.9487255088559977,0.9781021897810219,0.9517241379310345,0.9395973154362416,0.9241379310344827,0.9483903935456952,0.9991310160427807,0.9896713615023475,0.9956428391007831,0.9949373661322775,0.9948456456945473
"Neural Network (hidden_layer_sizes=(5,5,5))",train,0.9375,0.9364548494983278,0.9522058823529411,0.9388489208633094,0.9240924092409241,0.9379005154888755,0.958904109589041,0.9087719298245615,0.9125874125874126,0.9688581314878892,0.9372803958722261,0.9475465313028765,0.9299820466786356,0.925531914893617,0.9459459459459459,0.9372516097052688,0.9953727301688436,0.9936056982132377,0.9890219480288763,0.9959664323775996,0.9934917021971393
"Neural Network (hidden_layer_sizes=(5,5,5))",test,0.9340277777777778,0.9571428571428572,0.9857142857142858,0.9295774647887324,0.8701298701298701,0.9356411194439364,0.9852941176470589,0.92,0.8918918918918919,0.9436619718309859,0.9352119953424842,0.9710144927536232,0.9517241379310345,0.9103448275862069,0.9054054054054054,0.9346222159190675,0.9993983957219251,0.9974960876369328,0.99463248295024,0.9943532160706172,0.9964700455949288
"Neural Network (hidden_layer_sizes=(10,))",train,0.9305555555555556,0.9493243243243243,0.9458483754512635,0.9433962264150944,0.8885350318471338,0.931775989509454,0.9623287671232876,0.9192982456140351,0.8741258741258742,0.9653979238754326,0.9302877026846573,0.95578231292517,0.9323843416370107,0.9074410163339383,0.9253731343283582,0.9302452013061193,0.9953926409684613,0.9931079139602177,0.989373213391689,0.9948036743154763,0.9931693606589611
"Neural Network (hidden_layer_sizes=(10,))",test,0.9375,0.9710144927536232,0.958904109589041,0.9305555555555556,0.8918918918918919,0.938091512447528,0.9852941176470589,0.9333333333333333,0.9054054054054054,0.9295774647887324,0.9384025802936324,0.9781021897810219,0.9459459459459459,0.9178082191780822,0.9103448275862069,0.9380502956228143,0.9997326203208556,0.9946791862284821,0.9950745137661026,0.9938988771337703,0.9958462993623026
