Timestamp,HT R Phase Current,Current_Winsorized,Current_Imputed,Current_Smooth
2019-07-30 11:00:00,50.35,0.0,50.35,51.044
2019-07-30 11:05:00,39.25,0.0,39.25,50.326
2019-07-30 11:10:00,37.19,0.0,37.19,47.766000000000005
2019-07-30 11:15:00,33.69,0.0,33.69,43.646
2019-07-30 11:20:00,28.25,0.0,28.25,37.746
2019-07-30 11:25:00,22.04,0.0,22.04,32.083999999999996
2019-07-30 11:30:00,22.77,0.0,22.77,28.788
2019-07-30 11:35:00,32.89,0.0,32.89,27.927999999999997
2019-07-30 11:40:00,34.68,0.0,34.68,28.125999999999998
2019-07-30 11:45:00,36.33,0.0,36.33,29.741999999999997
2019-07-30 11:50:00,44.67,0.0,44.67,34.268
2019-07-30 11:55:00,49.15,0.0,49.15,39.544
2019-07-30 12:00:00,53.29,0.0,53.29,43.624
2019-07-30 12:05:00,57.29,0.0,57.29,48.146
2019-07-30 12:10:00,58.58,0.0,58.58,52.596000000000004
2019-07-30 12:15:00,59.36,0.0,59.36,55.53399999999999
2019-07-30 12:20:00,42.94,0.0,42.94,54.29200000000001
2019-07-30 12:25:00,47.78,0.0,47.78,53.19
2019-07-30 12:30:00,49.57,0.0,49.57,51.646
2019-07-30 12:35:00,54.75,0.0,54.75,50.88
2019-07-30 12:40:00,77.8,0.0,77.8,54.568000000000005
2019-07-30 12:45:00,61.76,0.0,61.76,58.33200000000001
2019-07-30 12:50:00,62.91,0.0,62.91,61.358000000000004
2019-07-30 12:55:00,53.04,0.0,53.04,62.052
2019-07-30 13:00:00,56.67,0.0,56.67,62.436
2019-07-30 13:05:00,44.54,0.0,44.54,55.784000000000006
2019-07-30 13:10:00,27.63,0.0,27.63,48.958
2019-07-30 13:15:00,34.39,0.0,34.39,43.254000000000005
2019-07-30 13:20:00,51.48,0.0,51.48,42.942
2019-07-30 13:25:00,37.22,0.0,37.22,39.052
2019-07-30 13:30:00,33.09,0.0,33.09,36.762
2019-07-30 13:35:00,51.47,0.0,51.47,41.53
2019-07-30 13:40:00,32.86,0.0,32.86,41.224000000000004
2019-07-30 13:45:00,34.9,0.0,34.9,37.908
2019-07-30 13:50:00,31.62,0.0,31.62,36.788
2019-07-30 13:55:00,31.67,0.0,31.67,36.504000000000005
2019-07-30 14:00:00,16.22,0.0,16.22,29.454
2019-07-30 14:05:00,29.99,0.0,29.99,28.879999999999995
2019-07-30 14:10:00,36.73,0.0,36.73,29.246
2019-07-30 14:15:00,25.63,0.0,25.63,28.047999999999995
2019-07-30 14:20:00,25.35,0.0,25.35,26.784
2019-07-30 14:25:00,31.59,0.0,31.59,29.857999999999997
2019-07-30 14:30:00,29.11,0.0,29.11,29.682
2019-07-30 14:35:00,29.83,0.0,29.83,28.302
2019-07-30 14:40:00,24.67,0.0,24.67,28.110000000000003
2019-07-30 14:45:00,26.28,0.0,26.28,28.296000000000003
2019-07-30 14:50:00,32.93,0.0,32.93,28.564
2019-07-30 14:55:00,26.17,0.0,26.17,27.976
2019-07-30 15:00:00,15.25,0.0,15.25,25.060000000000002
2019-07-30 15:05:00,15.02,0.0,15.02,23.130000000000003
2019-07-30 15:10:00,17.72,0.0,17.72,21.418
2019-07-30 15:15:00,28.92,0.0,28.92,20.616
2019-07-30 15:20:00,31.69,0.0,31.69,21.72
2019-07-30 15:25:00,32.49,0.0,32.49,25.168
2019-07-30 15:30:00,36.15,0.0,36.15,29.394
2019-07-30 15:35:00,35.09,0.0,35.09,32.868
2019-07-30 15:40:00,21.25,0.0,21.25,31.334000000000003
2019-07-30 15:45:00,11.7,0.0,11.7,27.336000000000002
2019-07-30 15:50:00,10.12,0.0,10.12,22.862
2019-07-30 15:55:00,8.84,0.0,8.84,17.4
2019-07-30 16:00:00,13.15,0.0,13.15,13.012
2019-07-30 16:05:00,15.67,0.0,15.67,11.895999999999999
2019-07-30 16:10:00,18.89,0.0,18.89,13.334
2019-07-30 16:15:00,19.85,0.0,19.85,15.280000000000001
2019-07-30 16:20:00,22.72,0.0,22.72,18.056
2019-07-30 16:25:00,23.25,0.0,23.25,20.076
2019-07-30 16:30:00,13.46,0.0,13.46,19.634
2019-07-30 16:35:00,9.93,0.0,9.93,17.842000000000002
2019-07-30 16:40:00,9.92,0.0,9.92,15.856
2019-07-30 16:45:00,10.31,0.0,10.31,13.374
2019-07-30 16:50:00,14.55,0.0,14.55,11.634
2019-07-30 16:55:00,23.25,0.0,23.25,13.592000000000002
2019-07-30 17:00:00,20.6,0.0,20.6,15.725999999999999
2019-07-30 17:05:00,19.83,0.0,19.83,17.708
2019-07-30 17:10:00,18.92,0.0,18.92,19.43
2019-07-30 17:15:00,15.48,0.0,15.48,19.616
2019-07-30 17:20:00,13.6,0.0,13.6,17.686
2019-07-30 17:25:00,9.71,0.0,9.71,15.508000000000001
2019-07-30 17:30:00,8.71,0.0,8.71,13.284
2019-07-30 17:35:00,7.68,0.0,7.68,11.036
2019-07-30 17:40:00,5.61,0.0,5.61,9.062000000000001
2019-07-30 17:45:00,4.52,0.0,4.52,7.246
2019-07-30 17:50:00,4.78,0.0,4.78,6.260000000000001
2019-07-30 17:55:00,5.35,0.0,5.35,5.588
2019-07-30 18:00:00,4.39,0.0,4.39,4.93
2019-07-30 18:05:00,1.85,0.0,1.85,4.177999999999999
2019-07-30 18:10:00,2.07,0.0,2.07,3.6879999999999997
2019-07-30 18:15:00,2.12,0.0,2.12,3.1559999999999997
2019-07-30 18:20:00,2.61,0.0,2.61,2.6079999999999997
2019-07-30 18:25:00,1.96,0.0,1.96,2.122
2019-07-30 18:30:00,1.26,0.0,1.26,2.004
2019-07-30 18:35:00,0.88,0.0,0.88,1.766
2019-07-30 18:40:00,0.79,0.0,0.79,1.5
2019-07-30 18:45:00,0.78,0.0,0.78,1.1340000000000001
2019-07-30 18:50:00,0.13,0.0,0.13,0.768
2019-07-30 18:55:00,0.09,0.0,0.09,0.534
2019-07-30 19:00:00,0.09,0.0,0.09,0.376
2019-07-30 19:05:00,0.09,0.0,0.09,0.236
2019-07-30 19:10:00,0.09,0.0,0.09,0.098
2019-07-30 19:15:00,0.09,0.0,0.09,0.09
2019-07-30 19:20:00,0.09,0.0,0.09,0.09
2019-07-30 19:25:00,0.09,0.0,0.09,0.09
2019-07-30 19:30:00,0.09,0.0,0.09,0.09
2019-07-30 19:35:00,0.09,0.0,0.09,0.09
2019-07-30 19:40:00,0.09,0.0,0.09,0.09
2019-07-30 19:45:00,0.09,0.0,0.09,0.09
2019-07-30 19:50:00,0.09,0.0,0.09,0.09
2019-07-30 19:55:00,0.09,0.0,0.09,0.09
2019-07-30 20:00:00,0.09,0.0,0.09,0.09
2019-07-30 20:05:00,0.09,0.0,0.09,0.09
2019-07-30 20:10:00,0.09,0.0,0.09,0.09
2019-07-30 20:15:00,0.09,0.0,0.09,0.09
2019-07-30 20:20:00,0.09,0.0,0.09,0.09
2019-07-30 20:25:00,0.09,0.0,0.09,0.09
2019-07-30 20:30:00,0.09,0.0,0.09,0.09
2019-07-30 20:35:00,0.09,0.0,0.09,0.09
2019-07-30 20:40:00,0.09,0.0,0.09,0.09
2019-07-30 20:45:00,0.09,0.0,0.09,0.09
2019-07-30 20:50:00,0.09,0.0,0.09,0.09
2019-07-30 20:55:00,0.09,0.0,0.09,0.09
2019-07-30 21:00:00,0.09,0.0,0.09,0.09
2019-07-30 21:05:00,0.09,0.0,0.09,0.09
2019-07-30 21:10:00,0.09,0.0,0.09,0.09
2019-07-30 21:15:00,0.09,0.0,0.09,0.09
2019-07-30 21:20:00,0.09,0.0,0.09,0.09
2019-07-30 21:25:00,0.09,0.0,0.09,0.09
2019-07-30 21:30:00,0.09,0.0,0.09,0.09
2019-07-30 21:35:00,0.09,0.0,0.09,0.09
