algorithm_name,train_or_test_data,accuracy,precision_1,precision_2,precision_3,precision_4,precision_avg,recall_1,recall_2,recall_3,recall_4,recall_avg,f1_1,f1_2,f1_3,f1_4,f1_avg,auc_1,auc_2,auc_3,auc_4,auc_avg
Random Forest (min_samples_leaf=5),train,0.9583333333333334,0.9722222222222222,0.9440559440559441,0.9448275862068966,0.9722222222222222,0.9583319936768213,0.958904109589041,0.9473684210526315,0.958041958041958,0.9688581314878892,0.9582931550428799,0.9655172413793104,0.9457092819614711,0.9513888888888888,0.9705372616984402,0.9582881684820277,0.9988292449824785,0.9979926748821304,0.9972060272291219,0.9991459742509232,0.9982934803361634
Random Forest (min_samples_leaf=5),test,0.9548611111111112,0.9710144927536232,0.958904109589041,0.9466666666666667,0.9436619718309859,0.9550618102100792,0.9852941176470589,0.9333333333333333,0.9594594594594594,0.9436619718309859,0.9554372205677094,0.9781021897810219,0.9459459459459459,0.9530201342281879,0.9436619718309859,0.9551825604465354,0.9987299465240642,0.9891079812206571,0.9964637534730993,0.9981826442526125,0.9956210813676083
"Neural Network (hidden_layer_sizes=(5,))",train,0.9140625,0.8742331288343558,0.935361216730038,0.9459459459459459,0.9111842105263158,0.9166811255091639,0.976027397260274,0.8631578947368421,0.8566433566433567,0.9584775086505191,0.913576539322748,0.9223300970873787,0.8978102189781022,0.8990825688073395,0.9342327150084317,0.9133638999703131,0.9940745460337688,0.9869726218660839,0.9795377832329333,0.9902608988520771,0.9877114624962158
"Neural Network (hidden_layer_sizes=(5,))",test,0.8888888888888888,0.8095238095238095,0.9508196721311475,0.9411764705882353,0.88,0.8953799880607981,1.0,0.7733333333333333,0.8648648648648649,0.9295774647887324,0.8919439157467326,0.8947368421052632,0.8529411764705882,0.9014084507042254,0.9041095890410958,0.8882990145802931,0.9993983957219251,0.9879186228482004,0.9893912604192978,0.9846822872720192,0.9903476415653606
"Neural Network (hidden_layer_sizes=(5,5))",train,0.9262152777777778,0.9548611111111112,0.9023569023569024,0.9298892988929889,0.918918918918919,0.9265065578199804,0.9417808219178082,0.9403508771929825,0.8811188811188811,0.9411764705882353,0.9261067627044768,0.9482758620689655,0.9209621993127147,0.9048473967684022,0.9299145299145299,0.9259999970161531,0.992087448231921,0.9920961573483884,0.9855254445323729,0.9905656216545646,0.9900686679418116
"Neural Network (hidden_layer_sizes=(5,5))",test,0.9444444444444444,0.9577464788732394,0.9594594594594594,0.9315068493150684,0.9285714285714286,0.9443210540547989,1.0,0.9466666666666667,0.918918918918919,0.9154929577464789,0.9452696358330162,0.9784172661870504,0.9530201342281879,0.9251700680272109,0.9219858156028369,0.9446483210113215,0.9997994652406418,0.9945539906103287,0.9925486233897449,0.9903290712014019,0.9943077876105293
"Neural Network (hidden_layer_sizes=(5,5,5))",train,0.9409722222222222,0.9331103678929766,0.946236559139785,0.9359430604982206,0.9488054607508533,0.9410238620704588,0.9554794520547946,0.9263157894736842,0.9195804195804196,0.9619377162629758,0.9408283443429686,0.9441624365482234,0.9361702127659575,0.927689594356261,0.9553264604810997,0.9408371760378854,0.9951457470532016,0.9949452639673,0.991460617904036,0.9971692855453136,0.9946802286174627
"Neural Network (hidden_layer_sizes=(5,5,5))",test,0.9583333333333334,0.9577464788732394,0.9857142857142858,0.9473684210526315,0.9436619718309859,0.9586227893677857,1.0,0.92,0.972972972972973,0.9436619718309859,0.9591587362009897,0.9784172661870504,0.9517241379310345,0.96,0.9436619718309859,0.9584508439872677,0.9994652406417112,0.9966823161189358,0.9976004041424603,0.9974686830661388,0.9978041609923115
"Neural Network (hidden_layer_sizes=(10,))",train,0.9305555555555556,0.9493243243243243,0.942652329749104,0.9431818181818182,0.8913738019169329,0.9316330685430448,0.9623287671232876,0.9228070175438596,0.8706293706293706,0.9653979238754326,0.9302907697929876,0.95578231292517,0.9326241134751773,0.9054545454545454,0.9269102990033222,0.9301928177145538,0.9951417648932781,0.9932333717800845,0.9910366769489171,0.9949239596322477,0.9935839433136318
"Neural Network (hidden_layer_sizes=(10,))",test,0.9340277777777778,0.9571428571428572,0.971830985915493,0.9305555555555556,0.88,0.9348823496534764,0.9852941176470589,0.92,0.9054054054054054,0.9295774647887324,0.9350692469602991,0.9710144927536232,0.9452054794520548,0.9178082191780822,0.9041095890410958,0.934534445106214,0.9992647058823529,0.993114241001565,0.9948219247284669,0.9937041604465503,0.9952262580147337
